
2024/09/25 (12:33:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (13:33:13) | ===> btop++ v.1.3.2
2024/09/25 (13:33:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (13:46:42) | ===> btop++ v.1.3.2
2024/09/25 (13:46:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:16:58) | ===> btop++ v.1.3.2
2024/09/25 (14:16:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:23:01) | ===> btop++ v.1.3.2
2024/09/25 (14:23:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:27:35) | ===> btop++ v.1.3.2
2024/09/25 (14:27:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:30:24) | ===> btop++ v.1.3.2
2024/09/25 (14:30:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:30:46) | ===> btop++ v.1.3.2
2024/09/25 (14:30:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:46:20) | ===> btop++ v.1.3.2
2024/09/25 (15:46:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:46:38) | ===> btop++ v.1.3.2
2024/09/25 (15:46:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:57:24) | ===> btop++ v.1.3.2
2024/09/25 (15:57:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (17:52:50) | ===> btop++ v.1.3.2
2024/09/25 (17:52:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (18:42:19) | ===> btop++ v.1.3.2
2024/09/25 (18:42:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (22:59:15) | ===> btop++ v.1.3.2
2024/09/25 (22:59:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (01:22:46) | ===> btop++ v.1.3.2
2024/09/26 (01:22:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (13:22:21) | ===> btop++ v.1.3.2
2024/09/26 (13:22:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (23:28:25) | ===> btop++ v.1.3.2
2024/09/26 (23:28:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (21:58:40) | ===> btop++ v.1.3.2
2024/09/27 (21:58:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:04:53) | ===> btop++ v.1.3.2
2024/09/27 (22:04:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:15:44) | ===> btop++ v.1.3.2
2024/09/27 (22:15:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:22:29) | ===> btop++ v.1.3.2
2024/09/27 (22:22:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:53:27) | ===> btop++ v.1.3.2
2024/09/27 (22:53:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (23:17:10) | ===> btop++ v.1.3.2
2024/09/27 (23:17:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (23:25:52) | ===> btop++ v.1.3.2
2024/09/27 (23:25:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (13:28:13) | ===> btop++ v.1.3.2
2024/09/28 (13:28:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (13:58:20) | ===> btop++ v.1.3.2
2024/09/28 (13:58:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (13:58:40) | ===> btop++ v.1.3.2
2024/09/28 (13:58:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (14:07:53) | ===> btop++ v.1.3.2
2024/09/28 (14:07:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (16:16:09) | ===> btop++ v.1.3.2
2024/09/28 (16:16:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (16:30:03) | ===> btop++ v.1.3.2
2024/09/28 (16:30:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (16:32:14) | ===> btop++ v.1.3.2
2024/09/28 (16:32:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (16:32:34) | ===> btop++ v.1.3.2
2024/09/28 (16:32:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (16:33:21) | ===> btop++ v.1.3.2
2024/09/28 (16:33:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (16:33:37) | ===> btop++ v.1.3.2
2024/09/28 (16:33:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (16:37:26) | ===> btop++ v.1.3.2
2024/09/28 (16:37:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (16:37:33) | ===> btop++ v.1.3.2
2024/09/28 (16:37:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (17:10:39) | ===> btop++ v.1.3.2
2024/09/28 (17:10:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/30 (00:38:41) | ===> btop++ v.1.3.2
2024/09/30 (00:38:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/30 (23:49:48) | ===> btop++ v.1.3.2
2024/09/30 (23:49:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/30 (23:50:04) | ===> btop++ v.1.3.2
2024/09/30 (23:50:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (13:39:31) | ===> btop++ v.1.3.2
2024/10/01 (13:39:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (13:40:35) | ===> btop++ v.1.3.2
2024/10/01 (13:40:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (13:43:09) | ===> btop++ v.1.3.2
2024/10/01 (13:43:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (14:18:44) | ===> btop++ v.1.3.2
2024/10/01 (14:18:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:11:57) | ===> btop++ v.1.3.2
2024/10/01 (15:11:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:13:05) | ===> btop++ v.1.3.2
2024/10/01 (15:13:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:45:29) | ===> btop++ v.1.3.2
2024/10/01 (15:45:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:46:28) | ===> btop++ v.1.3.2
2024/10/01 (15:46:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:47:20) | ===> btop++ v.1.3.2
2024/10/01 (15:47:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:48:00) | ===> btop++ v.1.3.2
2024/10/01 (15:48:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:53:13) | ===> btop++ v.1.3.2
2024/10/01 (15:53:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:53:46) | ===> btop++ v.1.3.2
2024/10/01 (15:53:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (15:54:23) | ===> btop++ v.1.3.2
2024/10/01 (15:54:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (20:19:33) | ===> btop++ v.1.3.2
2024/10/01 (20:19:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (21:14:38) | ===> btop++ v.1.3.2
2024/10/01 (21:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (01:38:55) | ===> btop++ v.1.3.2
2024/10/02 (01:38:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (22:50:05) | ===> btop++ v.1.3.2
2024/10/02 (22:50:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/03 (14:28:19) | ===> btop++ v.1.3.2
2024/10/03 (14:28:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (13:21:33) | ===> btop++ v.1.3.2
2024/10/04 (13:21:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (13:21:40) | ===> btop++ v.1.3.2
2024/10/04 (13:21:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (13:22:05) | ===> btop++ v.1.3.2
2024/10/04 (13:22:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (17:34:31) | ===> btop++ v.1.3.2
2024/10/04 (17:34:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (17:44:38) | ===> btop++ v.1.3.2
2024/10/04 (17:44:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (18:05:11) | ===> btop++ v.1.3.2
2024/10/04 (18:05:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (22:01:22) | ===> btop++ v.1.3.2
2024/10/04 (22:01:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (22:09:02) | ===> btop++ v.1.3.2
2024/10/04 (22:09:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (22:30:37) | ===> btop++ v.1.3.2
2024/10/04 (22:30:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (22:30:59) | ===> btop++ v.1.3.2
2024/10/04 (22:30:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
